 id  |        name        |                description                 |                                                                         effects                                                                         
 268 | 도적 민첩 8        | 민첩 +5                                    | [{"stat": "dex", "type": "stat", "value": 5}]
 269 | 도적 민첩 9        | 민첩 +5                                    | [{"stat": "dex", "type": "stat", "value": 5}]
 270 | 도적 속도 1        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 271 | 도적 속도 2        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 272 | 도적 속도 3        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 273 | 도적 속도 4        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 274 | 도적 속도 5        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 275 | 도적 속도 6        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 276 | 도적 속도 7        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 277 | 도적 속도 8        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 278 | 도적 속도 9        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 279 | 도적 치명 1        | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 280 | 도적 치명 2        | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 281 | 도적 치명 3        | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 282 | 도적 치명 4        | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 283 | 도적 치명 5        | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 284 | 도적 치명 6        | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 285 | 도적 치명 7        | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 286 | 도적 치명 8        | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 287 | 도적 치명 9        | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 288 | 도적 독 강화       | 독 도트 +40%                               | [{"key": "poison_amp", "type": "passive", "value": 40}]
 289 | 도적 연속행동 강화 | 연속행동 시 데미지 +15%                    | [{"key": "chain_action_amp", "type": "passive", "value": 15}]
 290 | 도적 제어 강화     | 제어 스킬 효과 +25%                        | [{"key": "control_amp", "type": "passive", "value": 25}]
 291 | 도적 회피 강화     | 회피 +10%                                  | [{"stat": "dex", "type": "stat", "value": 10}]
 292 | 도적 독폭발 강화   | 독 폭발 배율 +50%                          | [{"key": "poison_burst_amp", "type": "passive", "value": 50}]
 293 | 도적 연막 강화     | 연막 지속 +1행동                           | [{"key": "smoke_extend", "type": "passive", "value": 1}]
 294 | 도적 DEX 증강 I    | DEX +12                                    | [{"stat": "dex", "type": "stat", "value": 12}]
 295 | 도적 DEX 증강 II   | DEX +12                                    | [{"stat": "dex", "type": "stat", "value": 12}]
 296 | 도적 SPD 증강 I    | SPD +50                                    | [{"stat": "spd", "type": "stat", "value": 50}]
 297 | 도적 SPD 증강 II   | SPD +50                                    | [{"stat": "spd", "type": "stat", "value": 50}]
 298 | 도적 CRI 증강 I    | CRI +8%                                    | [{"stat": "cri", "type": "stat", "value": 1}]
 299 | 도적 CRI 증강 II   | CRI +8%                                    | [{"stat": "cri", "type": "stat", "value": 1}]
 300 | 독의 군주          | 독중첩+3, 독데미지+60%, 물리-15%           | [{"key": "poison_lord", "type": "passive", "value": 60}]
 301 | 그림자 춤          | 백스텝쿨-2, 연속행동데미지+15%, HP-20%     | [{"key": "shadow_dance", "type": "passive", "value": 15}]
 302 | 트릭스터           | 제어+50%, 적스피드감소+30%, 직접데미지-20% | [{"key": "trickster", "type": "passive", "value": 50}]
(302�� ��)

